"product_id";"variant_id";"product_title";"product_summary";"product_brand";"product_tags";"product_collections";"product_url_slug";"variant_options";"variant_stock";"variant_sku";"variant_price";"product_pict_url";"product_pict_position";"variant_pict_url"
;;"Abrillantador clarificador Brillant de 4L a 50L";"Combate la turbidez del agua y la deja brillante, Une las pequeñas partículas que hace ver sucia la piscina y que el filtro no es capaz de retener, en coágulos ligeramente más grandes para que sean de tamaño suficiente para ser atrapados p…";"BLUE QUIM";;;"abrillantador-clarificador-brillant";"[[litros:4 Lts]]";"10";"37-024-4101-04";"484.32";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001"
;;"Abrillantador clarificador Brillant de 4L a 50L";"Combate la turbidez del agua y la deja brillante, Une las pequeñas partículas que hace ver sucia la piscina y que el filtro no es capaz de retener, en coágulos ligeramente más grandes para que sean de tamaño suficiente para ser atrapados p…";"BLUE QUIM";;;"abrillantador-clarificador-brillant";"[[litros:10 Lts]]";"8";"37-024-4101-10";"1110.82";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001"
;;"Abrillantador clarificador Brillant de 4L a 50L";"Combate la turbidez del agua y la deja brillante, Une las pequeñas partículas que hace ver sucia la piscina y que el filtro no es capaz de retener, en coágulos ligeramente más grandes para que sean de tamaño suficiente para ser atrapados p…";"BLUE QUIM";;;"abrillantador-clarificador-brillant";"[[litros:20 Lts]]";"10";"37-024-4101-20";"2216.08";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001"
;;"Abrillantador clarificador Brillant de 4L a 50L";"Combate la turbidez del agua y la deja brillante, Une las pequeñas partículas que hace ver sucia la piscina y que el filtro no es capaz de retener, en coágulos ligeramente más grandes para que sean de tamaño suficiente para ser atrapados p…";"BLUE QUIM";;;"abrillantador-clarificador-brillant";"[[litros:50 Lts]]";"10";"37-024-4101-50";"5488.54";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1286.png?v=1722121001"
;;"Abrillantador y alguicida Cristal-Net Plus de 1L a 200L";"El antialgas abrillantador AstralPool ofrece protección contra algas y el agua más azul que nunca. Este compuesto de acción rápida está formulado a base de productos de carácter tensoactivo con un elevado poder bactericida, algicida y fung…";"ASTRALPOOL";;;"cristalnet-4litros";"[[elige_una_opcion:1 lts]]";"99";"FL-NQ-010-CNP";"226.80";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213"
;;"Abrillantador y alguicida Cristal-Net Plus de 1L a 200L";"El antialgas abrillantador AstralPool ofrece protección contra algas y el agua más azul que nunca. Este compuesto de acción rápida está formulado a base de productos de carácter tensoactivo con un elevado poder bactericida, algicida y fung…";"ASTRALPOOL";;;"cristalnet-4litros";"[[elige_una_opcion:4 lts]]";"99";"FL-NQ-040-CNP";"882.48";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213"
;;"Abrillantador y alguicida Cristal-Net Plus de 1L a 200L";"El antialgas abrillantador AstralPool ofrece protección contra algas y el agua más azul que nunca. Este compuesto de acción rápida está formulado a base de productos de carácter tensoactivo con un elevado poder bactericida, algicida y fung…";"ASTRALPOOL";;;"cristalnet-4litros";"[[elige_una_opcion:20 lts]]";"99";"fl-NQ-200-CNP";"4323.74";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213"
;;"Abrillantador y alguicida Cristal-Net Plus de 1L a 200L";"El antialgas abrillantador AstralPool ofrece protección contra algas y el agua más azul que nunca. Este compuesto de acción rápida está formulado a base de productos de carácter tensoactivo con un elevado poder bactericida, algicida y fung…";"ASTRALPOOL";;;"cristalnet-4litros";"[[elige_una_opcion:50 lts]]";"96";"FL-NQ-500-CNP";"9890.72";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213"
;;"Abrillantador y alguicida Cristal-Net Plus de 1L a 200L";"El antialgas abrillantador AstralPool ofrece protección contra algas y el agua más azul que nunca. Este compuesto de acción rápida está formulado a base de productos de carácter tensoactivo con un elevado poder bactericida, algicida y fung…";"ASTRALPOOL";;;"cristalnet-4litros";"[[elige_una_opcion:200 lts]]";"99";"FL-NQ-200-TCNP";"29890.65";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1291.png?v=1722129213"
;;"Abrillantador, algicida y biocida Brillant Diamante de 4L a 50L";"3 en 1. Resuelva problemas simultáneos de agua turbia, algas, bacterias, hongos y disminuya la demanda de cloro en la piscina. Sustituye clarificadores, abrillantadores y/o algicidas comunes. INDICACIONES DE USO: Como preventivo: aplicar 3…";"BLUE QUIM";;;"abrillantador-algicida-y-biocida-4-10-20-y-50-lt-brillant-diamante-blue-quim";"[[elige_una_opcion:4 Litros]]";"9";"37-024-4201-04";"730.92";"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1533.png?v=1722120977";;"https://cdn.shopify.com/s/files/1/0812/8400/6167/files/Frame1533.png?v=1722120977"
